Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
2002,89.47324530924253,133,16,160.94,6,8.54,44.49142857142857,6.1,0
2008,88.9306905400541,122,4,191.47,5,7.3,61.185,5.3,0
2013,88.58283982922464,112,4,206.36,6,3.7,148.06,6.8,1
1998,88.43719646234854,85,9,144.16,2,7.1,86.11833333333334,5.4,0
2007,88.32732006515789,87,1,183.14,0,2.2,183.14,7.3,1
2014,88.09384849660347,130,4,208.55,6,5.2,111.9025,7.6,1
1994,88.04857480182153,91,1,130.51,2,7.1,72.71666666666667,4.9,0
1991,87.85412714923821,142,1,119.65,3,2.1,138.73962962962963,6.8,1
1972,87.83579115185331,123,16,36.73,6,10.8,24.395,7.3,1
2018,87.67582987586292,147,4,220.16,6,8.54,125.3325,7.7,1
1993,87.58927026247477,105,1,126.53,2,5.7,98.81,6.8,1
1984,87.42499598909032,126,1,90.82,6,5.1,80.614,7.3,1
1966,87.34274711168166,120,1,28.35,1,2.53,22.205,7.7,1
1996,87.01944532993309,121,4,136.49,6,10.8,95.35095238095236,6.7,1
1992,86.91055944886564,129,4,121.95,6,0.53,66.71,6.3,0
2013,86.86578536461475,116,4,202.36,6,8.4,68.11,7.0,1
1996,86.82817978960792,103,0,136.19,3,10.3,48.19222222222222,5.7,0
1992,86.73239102031118,94,1,121.7,2,0.5,68.61333333333333,7.0,1
1998,86.59066509892132,98,4,141.15,6,10.3,113.08800000000001,7.0,1
1972,86.42487046632124,129,16,36.14,5,5.5,17.552,6.9,1
2018,86.2780184529692,118,4,216.65,6,2.2,116.98666666666666,7.0,1
1997,86.2402658083273,126,1,138.43,5,5.5,27.390909090909098,8.3,1
2018,86.19040634099296,134,4,216.43,1,0.53,135.857,7.9,1
1998,86.16737385614232,120,4,140.46,6,5.4,59.965,6.2,0
1989,85.98279107286906,99,1,106.59,2,5.7,74.67333333333333,7.3,1
2018,85.73641630620696,136,16,215.29,5,0.52,215.29,7.6,1
2014,85.68610485512353,142,4,202.85,6,3.8,130.51749999999998,6.6,1
1996,85.47656997131018,136,16,134.07,6,8.54,178.96230769230772,7.4,1
2002,85.22029186935372,89,1,153.29,3,2.1,88.5575,5.2,0
2018,85.13109625982565,135,4,213.77,6,3.8,95.35095238095236,6.9,1
2018,85.03153704167083,112,4,213.52,6,3.8,89.05600000000001,6.6,1
2015,84.86733019150525,105,1,201.15,3,5.1,63.30800000000001,6.9,1
1969,84.8614266242617,128,1,31.13,3,5.6,31.13,7.4,1
2014,84.76947262670048,123,4,200.68,6,3.8,244.36666666666665,6.4,0
1980,84.76084538375974,109,16,69.85,2,1.5,64.85,6.2,0
2015,84.4116666736985,148,4,200.07,6,8.54,124.15375,6.8,1
1999,84.07023863124718,84,1,140.04,3,2.1,74.07333333333332,6.0,0
1992,83.90307637486636,127,16,117.73,5,9.7,63.32285714285714,7.0,1
2009,83.84567696947379,107,4,179.88,6,7.5,45.56166666666667,6.5,0
1977,83.81685686786746,175,1,50.8,5,1.5,37.68666666666667,7.4,1
1998,83.62149174377586,139,4,136.31,6,8.51,112.40500000000002,5.4,0
1991,83.33843235636053,99,4,113.5,2,7.0,130.02125,6.9,1
