Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Adjusted_Total,discrete
1998,7.0,98,4,141.15,6,10.3,113.08800000000001,86.59066509892132,0
1972,6.9,129,16,36.14,5,5.5,17.552,86.42487046632124,0
2018,7.0,118,4,216.65,6,2.2,116.98666666666666,86.2780184529692,0
1997,8.3,126,1,138.43,5,5.5,27.390909090909098,86.2402658083273,0
2018,7.9,134,4,216.43,1,0.53,135.857,86.19040634099296,0
1998,6.2,120,4,140.46,6,5.4,59.965,86.16737385614232,0
1989,7.3,99,1,106.59,2,5.7,74.67333333333333,85.98279107286906,0
2018,7.6,136,16,215.29,5,0.52,215.29,85.73641630620696,0
2014,6.6,142,4,202.85,6,3.8,130.51749999999998,85.68610485512353,0
1996,7.4,136,16,134.07,6,8.54,178.96230769230772,85.47656997131018,0
2002,5.2,89,1,153.29,3,2.1,88.5575,85.22029186935372,0
2018,6.9,135,4,213.77,6,3.8,95.35095238095236,85.13109625982565,0
2018,6.6,112,4,213.52,6,3.8,89.05600000000001,85.03153704167083,0
2015,6.9,105,1,201.15,3,5.1,63.30800000000001,84.86733019150525,0
1969,7.4,128,1,31.13,3,5.6,31.13,84.8614266242617,0
2014,6.4,123,4,200.68,6,3.8,244.36666666666665,84.76947262670048,0
1980,6.2,109,16,69.85,2,1.5,64.85,84.76084538375974,0
2015,6.8,148,4,200.07,6,8.54,124.15375,84.4116666736985,0
1999,6.0,84,1,140.04,3,2.1,74.07333333333332,84.07023863124718,0
1992,7.0,127,16,117.73,5,9.7,63.32285714285714,83.90307637486636,0
2009,6.5,107,4,179.88,6,7.5,45.56166666666667,83.84567696947379,0
1977,7.4,175,1,50.8,5,1.5,37.68666666666667,83.81685686786746,0
1998,5.4,139,4,136.31,6,8.51,112.40500000000002,83.62149174377586,0
1991,6.9,99,4,113.5,2,7.0,130.02125,83.33843235636053,0
1986,6.6,96,4,91.26,2,5.52,45.695,83.26009275450467,0
2011,7.4,129,4,186.85,6,3.4,91.25399999999999,83.06690327384811,0
2006,8.0,144,4,167.45,6,8.54,75.84222222222222,83.0639494026704,0
2021,7.4,132,4,224.54,6,3.7,80.94,82.86533828960611,0
1998,6.8,115,1,135.03,1,2.7,127.26000000000002,82.83625581514237,0
2019,6.5,169,16,211.59,5,7.7,211.59,82.76309866491258,0
2009,6.0,105,8,177.24,3,2.1,104.32916666666667,82.61512000261028,0
2012,7.7,101,1,189.42,0,2.2,189.42,82.50218592464157,0
1994,6.9,141,4,122.19,6,10.4,61.357777777777784,82.43548659133073,0
2015,7.4,131,4,195.04,6,8.54,125.3325,82.28945603058008,0
1999,8.6,189,4,136.8,10,5.8,64.31666666666668,82.12516884286357,0
1996,5.7,95,16,128.81,2,2.5,127.26000000000002,82.1230474976092,0
2001,6.4,108,17,145.1,2,2.9,145.1,81.94653614457833,0
1994,7.3,116,16,121.25,6,8.54,113.72999999999999,81.80131556754932,0
1982,7.7,113,1,78.91,6,3.8,76.9,81.7720207253886,0
2003,6.3,109,4,150.37,6,7.5,79.0425,81.74133635334087,0
1982,6.9,96,16,78.87,6,10.3,36.931250000000006,81.73056994818654,0
2001,6.8,106,16,144.53,6,10.8,66.72571428571429,81.62462349397592,0
1970,7.6,139,16,31.56,3,2.7,31.56,81.28783000643915,0
1976,6.7,96,0,46.2,6,10.8,76.1,81.18318933958119,0
2007,5.8,100,9,168.27,6,2.2,79.59,81.15560853644273,0
2006,8.0,117,1,163.57,1,5.0,82.20666666666666,81.1392666694225,0
2010,6.2,140,1,176.59,6,5.1,59.581999999999994,80.9839696774445,0
1963,7.4,115,16,24.8,6,8.54,34.82333333333333,80.9795918367347,0
1985,7.1,161,1,87.1,1,5.7,91.18285714285712,80.97303997520918,0
2005,6.4,113,4,158.12,2,10.5,91.24777777777778,80.96607638148068,0
